Time_s,Elevation_m
0,0.246621
1,-0.124001
2,0.0745838
3,0.558164
4,0.312332
5,-0.0827751
6,-0.336084
7,-0.576
8,-0.39525
9,-0.0918997
10,-0.086476
11,0.136655
12,0.798288
13,1.11683
14,0.397568
15,-0.776813
16,-1.24014
17,-0.858045
18,-0.0970979
19,0.849278
20,1.24744
21,0.41841
22,-0.634251
23,-0.829743
24,-0.520668
25,0.0946553
26,0.754616
27,0.486188
28,-0.226452
29,-0.0809491
30,0.355153
31,-0.0498917
32,-0.828339
33,-0.715601
34,0.280678
35,0.67577
36,0.113368
37,-0.0329668
38,0.426596
39,0.330587
40,-0.171461
41,-0.294179
42,-0.500331
43,-0.729547
44,-0.0257814
45,0.839902
46,0.677118
47,-0.0282961
48,-0.542892
49,-0.326113
50,0.307819
51,0.115371
52,-0.272218
53,0.213718
54,0.585838
55,0.240492
56,-0.475196
57,-0.999851
58,-0.559761
59,0.170132
60,0.364568
61,0.590541
62,0.827517
63,0.646162
64,0.0475321
65,-0.728712
66,-0.987126
67,-0.855525
68,-0.666931
69,0.224008
70,1.28426
71,1.33224
72,0.592
73,-0.459009
74,-1.37088
75,-1.15968
76,0.324336
77,1.42564
78,0.943965
79,-0.0966861
80,-1.0965
81,-1.80151
82,-0.699408
83,1.12826
84,1.4051
85,1.16556
86,0.78122
87,-0.507959
88,-1.31474
89,-1.09176
90,-0.535339
91,0.0938217
92,0.270503
93,0.420484
94,0.852612
95,0.661847
96,0.0283235
97,-0.503481
98,-0.671825
99,-0.131767
100,0.247989
101,0.0490133
102,-0.0984203
103,-0.260776
104,-0.154572
105,0.2833
106,0.241599
107,-0.0139756
108,0.0376903
109,0.265967
110,0.350118
111,-0.227214
112,-0.690377
113,-0.203078
114,0.138864
115,0.161261
116,0.488309
117,0.158798
118,-0.688877
119,-0.53512
120,0.192714
121,0.374461
122,0.243824
123,0.199283
124,0.360667
125,0.51004
126,-0.0642955
127,-0.989598
128,-1.14712
129,-0.696828
130,-0.0119724
131,0.934238
132,1.40725
133,1.05987
134,0.340225
135,-0.627978
136,-1.39345
137,-1.18155
138,-0.108663
139,0.71735
140,0.477337
141,-0.0555659
142,0.0394415
143,0.348888
144,0.400281
145,0.0644093
146,-0.333503
147,-0.157909
148,-0.094039
149,-0.494217
150,-0.202759
151,0.391985
152,0.265124
153,0.0355765
154,-0.046478
155,-0.176868
156,-0.000643998
157,0.168713
158,-0.017479
159,0.0228126
160,0.481795
161,0.59029
162,-0.189556
163,-1.14425
164,-1.19321
165,-0.421963
166,0.531998
167,1.39693
168,1.49113
169,0.346506
170,-0.859022
171,-1.07263
172,-0.748497
173,-0.139423
174,0.490713
175,0.263518
176,-0.249368
177,0.135153
178,0.663601
179,0.237261
180,-0.533632
181,-0.428201
182,0.389012
183,0.479849
184,-0.279
185,-0.434601
186,0.0847944
187,0.084187
188,-0.23149
189,-0.124318
190,-0.130698
191,-0.21845
192,0.466293
193,1.07139
194,0.542149
195,-0.404127
196,-0.951461
197,-0.663735
198,0.0382172
199,-0.0376927
200,-0.201771
